,Match,T1,Score T1,Score T2,T2,Round
0,BLG vs MAD Lions,BLG,1,0,MAD Lions,Round 1
1,Top Esports vs T1,Top Esports,1,0,T1,Round 1
2,Gen.G vs Weibo Gaming,Gen.G,1,0,Weibo Gaming,Round 1
3,Fnatic vs Dplus KIA,Fnatic,0,1,Dplus KIA,Round 1
4,Team Liquid vs LNG Esports,Team Liquid,0,1,LNG Esports,Round 1
5,Hanwha Life Esports vs PSG Talon,Hanwha Life Esports,1,0,PSG Talon,Round 1
6,FlyQuest vs GAM Esports,FlyQuest,1,0,GAM Esports,Round 1
7,G2 Esports vs PaiN Gaming,G2 Esports,1,0,PaiN Gaming,Round 1
8,BLG vs LNG Esports,BLG,0,1,LNG Esports,Round 2
9,Gen.G vs Top Esports,Gen.G,1,0,Top Esports,Round 2
10,G2 Esports vs Hanwha Life Esports,G2 Esports,0,1,Hanwha Life Esports,Round 2
11,Weibo Gaming vs Team Liquid,Weibo Gaming,1,0,Team Liquid,Round 2
12,T1 vs PaiN Gaming,T1,1,0,PaiN Gaming,Round 2
13,Dplus KIA vs FlyQuest,Dplus KIA,1,0,FlyQuest,Round 2
14,Fnatic vs GAM Esports,Fnatic,1,0,GAM Esports,Round 2
15,PSG Talon vs MAD Lions,PSG Talon,1,0,MAD Lions,Round 2
16,Dplus KIA vs LNG Esports,Dplus KIA,0,2,LNG Esports,Round 3
17,Hanwha Life Esports vs Gen.G,Hanwha Life Esports,1,2,Gen.G,Round 3
18,Top Esports vs Fnatic,Top Esports,1,0,Fnatic,Round 3
19,Bilibili Gaming vs T1,BLG,0,1,T1,Round 3
20,PSG Talon vs FlyQuest,PSG Talon,0,1,FlyQuest,Round 3
21,Weibo Gaming vs G2 Esports,Weibo Gaming,0,1,G2 Esports,Round 3
22,MAD Lions vs GAM Esports,MAD Lions,1,0,GAM Esports,Round 3
23,PaiN Gaming vs Team Liquid,PaiN Gaming,0,1,Team Liquid,Round 3
